,canonical_composer,canonical_title,split,year,midi_filename,audio_filename,duration,performer,nationality,performer_label,canonical_title_label
14,Franz Schubert,Son. in Bb D.962,train,2006,2006/MIDI-Unprocessed_09_R2_2006_01_ORIG_MID--AUDIO_09_R2_2006_03_Track03_wav.midi,2006/MIDI-Unprocessed_09_R2_2006_01_ORIG_MID--AUDIO_09_R2_2006_03_Track03_wav.wav,772.517924063,Konstantin Krasnitsky,Belarussian,102,496
15,Franz Schubert,"Sonata in B-flat Major, D960",train,2004,2004/MIDI-Unprocessed_XP_16_R2_2004_01_ORIG_MID--AUDIO_16_R2_2004_01_Track01_wav.midi,2004/MIDI-Unprocessed_XP_16_R2_2004_01_ORIG_MID--AUDIO_16_R2_2004_01_Track01_wav.wav,917.292165775,Konstantin Krasnitsky,Belarus   ,102,657
16,Franz Schubert,"Sonata in B-flat Major, D960",train,2004,2004/MIDI-Unprocessed_XP_16_R2_2004_01_ORIG_MID--AUDIO_16_R2_2004_02_Track02_wav.midi,2004/MIDI-Unprocessed_XP_16_R2_2004_01_ORIG_MID--AUDIO_16_R2_2004_02_Track02_wav.wav,572.456644581,Konstantin Krasnitsky,Belarus   ,102,657
17,Franz Schubert,"Sonata in B-flat Major, D960",train,2004,2004/MIDI-Unprocessed_XP_16_R2_2004_01_ORIG_MID--AUDIO_16_R2_2004_03_Track03_wav.midi,2004/MIDI-Unprocessed_XP_16_R2_2004_01_ORIG_MID--AUDIO_16_R2_2004_03_Track03_wav.wav,240.996083931,Konstantin Krasnitsky,Belarus   ,102,657
18,Franz Schubert,"Sonata in B-flat Major, D960",train,2004,2004/MIDI-Unprocessed_XP_16_R2_2004_01_ORIG_MID--AUDIO_16_R2_2004_04_Track04_wav.midi,2004/MIDI-Unprocessed_XP_16_R2_2004_01_ORIG_MID--AUDIO_16_R2_2004_04_Track04_wav.wav,488.711165135,Konstantin Krasnitsky,Belarus   ,102,657
19,Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,Concert Suite from the Ballet Nutcracker,train,2004,2004/MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_13_Track13_wav.midi,2004/MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_13_Track13_wav.wav,969.764233204,Konstantin Krasnitsky,Belarus   ,102,77
20,Domenico Scarlatti,Sonata K. 466,train,2008,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--3.midi,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--3.wav,121.187111719,Joselyn Lai,Canadian ,91,506
21,Domenico Scarlatti,Sonata K. 525,test,2008,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--2.midi,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--2.wav,65.9481178125,Joselyn Lai,Canadian ,91,507
22,Domenico Scarlatti,Sonata K. 54,test,2008,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--1.midi,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--1.wav,205.774366875,Joselyn Lai,Canadian ,91,508
23,Franz Liszt,"""La Campanella""",train,2008,2008/MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--3.midi,2008/MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--3.wav,273.16212,Joselyn Lai,Canadian,91,5
24,Franz Liszt / Vladimir Horowitz,Hungarian Rhapsody No. 15 (Horowitz edition),validation,2008,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--7.midi,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--7.wav,308.576080313,Joselyn Lai,Canadian ,91,194
25,Franz Liszt / Vladimir Horowitz,Hungarian Rhapsody No. 2 (Horowitz Edition),validation,2008,2008/MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--5.midi,2008/MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--5.wav,529.54006875,Joselyn Lai,Canadian ,91,196
26,Franz Schubert,Impromptu Op. 90 No. 2 E-flat Major,train,2008,2008/MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--1.midi,2008/MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--1.wav,264.60844265599997,Joselyn Lai,Canadian ,91,228
27,Frédéric Chopin,"Ballade No. 4 in F minor, Op. 52",train,2008,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--5.midi,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--5.wav,628.508986875,Joselyn Lai,Canadian ,91,47
28,Frédéric Chopin,Etude Op. 25 No. 5 in E Minor,train,2008,2008/MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--2.midi,2008/MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--2.wav,181.853450625,Joselyn Lai,Canadian ,91,127
29,Frédéric Chopin,Polonaise Op. 26 in E-flat Minor,test,2008,2008/MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--3.midi,2008/MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--3.wav,423.697492969,Joselyn Lai,Canadian ,91,341
30,Franz Liszt,Annes de Pelerinage III: Le jeux d'eau a la Villa d'Este,train,2011,2011/MIDI-Unprocessed_17_R2_2011_MID--AUDIO_R2-D5_03_Track03_wav.midi,2011/MIDI-Unprocessed_17_R2_2011_MID--AUDIO_R2-D5_03_Track03_wav.wav,428.27280890599997,Su Yeon Kim,South Korea,156,30
31,Franz Schubert,"Impromptu Op. 142 No. 3, in B-Flat Major, D935",train,2011,2011/MIDI-Unprocessed_17_R2_2011_MID--AUDIO_R2-D5_04_Track04_wav.midi,2011/MIDI-Unprocessed_17_R2_2011_MID--AUDIO_R2-D5_04_Track04_wav.wav,399.084803906,Su Yeon Kim,South Korea,156,220
32,Fritz Kreisler / Sergei Rachmaninoff,Liebesfreud,train,2011,2011/MIDI-Unprocessed_17_R2_2011_MID--AUDIO_R2-D5_06_Track06_wav.midi,2011/MIDI-Unprocessed_17_R2_2011_MID--AUDIO_R2-D5_06_Track06_wav.wav,369.954224062,Su Yeon Kim,South Korea,156,268
33,Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23",train,2011,2011/MIDI-Unprocessed_17_R1_2011_MID--AUDIO_R1-D7_05_Track05_wav.midi,2011/MIDI-Unprocessed_17_R1_2011_MID--AUDIO_R1-D7_05_Track05_wav.wav,527.426021719,Su Yeon Kim,South Korea,156,40
34,Frédéric Chopin,Etude Op. 25 No. 11 in A Minor,train,2011,2011/MIDI-Unprocessed_17_R1_2011_MID--AUDIO_R1-D7_04_Track04_wav.midi,2011/MIDI-Unprocessed_17_R1_2011_MID--AUDIO_R1-D7_04_Track04_wav.wav,193.44131296900002,Su Yeon Kim,South Korea,156,124
35,Johann Sebastian Bach,"Prelude from the English Suite No. 2 in A Minor, BWV 807",train,2011,2011/MIDI-Unprocessed_17_R1_2011_MID--AUDIO_R1-D7_02_Track02_wav.midi,2011/MIDI-Unprocessed_17_R1_2011_MID--AUDIO_R1-D7_02_Track02_wav.wav,156.930932813,Su Yeon Kim,South Korea,156,434
36,Ludwig van Beethoven,"Sonata No. 26 in E-Flat Major, Op. 81a, ""Les Adiex"", First Movement",train,2011,2011/MIDI-Unprocessed_17_R1_2011_MID--AUDIO_R1-D7_03_Track03_wav.midi,2011/MIDI-Unprocessed_17_R1_2011_MID--AUDIO_R1-D7_03_Track03_wav.wav,338.045869219,Su Yeon Kim,South Korea,156,562
37,Ludwig van Beethoven,"Thirty-Two Variaions in C Minor, WoO80",train,2011,2011/MIDI-Unprocessed_17_R3_2011_MID--AUDIO_R3-D6_02_Track02_wav.midi,2011/MIDI-Unprocessed_17_R3_2011_MID--AUDIO_R3-D6_02_Track02_wav.wav,582.602248594,Su Yeon Kim,South Korea,156,787
38,Sergei Rachmaninoff,"Moments Musicaux, Op. 16",train,2011,2011/MIDI-Unprocessed_17_R3_2011_MID--AUDIO_R3-D6_03_Track03_wav.midi,2011/MIDI-Unprocessed_17_R3_2011_MID--AUDIO_R3-D6_03_Track03_wav.wav,380.37755765599996,Su Yeon Kim,South Korea,156,299
39,Sergei Rachmaninoff,"Moments Musicaux, Op. 16",train,2011,2011/MIDI-Unprocessed_17_R3_2011_MID--AUDIO_R3-D6_04_Track04_wav.midi,2011/MIDI-Unprocessed_17_R3_2011_MID--AUDIO_R3-D6_04_Track04_wav.wav,177.222045,Su Yeon Kim,South Korea,156,299
40,Alexander Scriabin,"Sonata No. 5, Op. 53",train,2009,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_04_WAV.midi,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_04_WAV.wav,706.203887813,Howard Na,USA,75,596
41,Antonio Soler,Sonata No. 10 in B Minor,train,2009,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_01_WAV.midi,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_01_WAV.wav,232.76552578099998,Howard Na,USA,75,514
42,Domenico Scarlatti,"Sonata in B Minor, L. 33",train,2009,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_02_WAV.midi,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_02_WAV.wav,167.319544219,Howard Na,USA,75,645
43,Franz Schubert,"Sonata in A Minor, D. 845",train,2009,2009/MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_01_WAV.midi,2009/MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_01_WAV.wav,463.744194375,Howard Na,USA,75,630
44,Franz Schubert,"Sonata in A Minor, D. 846",train,2009,2009/MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_02_WAV.midi,2009/MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_02_WAV.wav,398.83774218699995,Howard Na,USA,75,631
45,Franz Schubert,"Sonata in A Minor, D. 847",train,2009,2009/MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_03_WAV.midi,2009/MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_03_WAV.wav,280.387005938,Howard Na,USA,75,632
46,Franz Schubert,"Sonata in A Minor, D. 848",train,2009,2009/MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_04_WAV.midi,2009/MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_04_WAV.wav,293.561405156,Howard Na,USA,75,633
47,Frédéric Chopin,Barcarolle in F#,train,2006,2006/MIDI-Unprocessed_13_R1_2006_01-06_ORIG_MID--AUDIO_13_R1_2006_06_Track06_wav.midi,2006/MIDI-Unprocessed_13_R1_2006_01-06_ORIG_MID--AUDIO_13_R1_2006_06_Track06_wav.wav,486.925260938,Howard Na,American,75,48
48,Johannes Brahms,"Sonata No. 1 in C Major, Op. 1",validation,2009,2009/MIDI-Unprocessed_09_R1_2009_05-06_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_05_WAV.midi,2009/MIDI-Unprocessed_09_R1_2009_05-06_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_05_WAV.wav,1577.25002531,Howard Na,USA,75,510
49,Ludwig van Beethoven,"Sonata No. 8 in C Minor, Op.13",test,2009,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_03_WAV.midi,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_03_WAV.wav,921.4988114060001,Howard Na,USA,75,601
50,Claude Debussy,L'isle joyeuse,train,2013,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--3.midi,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--3.wav,350.077107188,Evelyn Mo,USA,60,264
51,Franz Liszt,"Concert Etude ""La Leggierezza""",train,2013,2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--4.midi,2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--4.wav,303.805785937,Evelyn Mo,USA,60,68
52,Franz Liszt,"Rhapsodie Espagnole, S. 254",train,2013,2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_17_R2_2013_wav--3.midi,2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_17_R2_2013_wav--3.wav,743.269822969,Evelyn Mo,USA,60,458
53,Franz Liszt,"Rhapsodie Espagnole, S. 254",train,2013,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--4.midi,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--4.wav,771.030211875,Evelyn Mo,USA,60,458
54,Franz Schubert,"Impromptu Op. 142 No. 3 in B-flat Major, D935",train,2013,2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_12_R2_2013_wav--2.midi,2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_12_R2_2013_wav--2.wav,462.785327812,Evelyn Mo,USA,60,219
55,Franz Schubert,"Impromptu Op. 90 No. 3 in G-flat Major, D899",train,2013,2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_17_R2_2013_wav--2.midi,2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_17_R2_2013_wav--2.wav,357.281961094,Evelyn Mo,USA,60,235
56,Franz Schubert,"Sonata in A Major, Op. 120, I. Allegro moderato",test,2013,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--2.midi,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--2.wav,339.792662344,Evelyn Mo,USA,60,627
57,Frédéric Chopin,"Ballade No. 1 in G Minor, Op. 23",train,2013,2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_12_R2_2013_wav--3.midi,2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_12_R2_2013_wav--3.wav,590.019442031,Evelyn Mo,USA,60,40
58,Johann Sebastian Bach,"Partita No. 2 in C Minor, I. Sinfonia",train,2013,2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_12_R2_2013_wav--1.midi,2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_12_R2_2013_wav--1.wav,265.774306875,Evelyn Mo,USA,60,329
59,Johann Sebastian Bach,"Prelude and Fugue in C-sharp Major, WTC I, BWV 848",train,2013,2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--1.midi,2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--1.wav,211.061487656,Evelyn Mo,USA,60,391
60,Franz Liszt,"Transcendental Etude No. 10 in F Minor, S. 139/10",test,2018,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--3.wav,235.22412375,Martin Leung,USA,115,806
61,Franz Liszt,"Venezia e Napoli, S. 162",train,2018,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--4.midi,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--4.wav,990.9138060939999,Martin Leung,USA,115,845
62,Franz Liszt,"Venezia e Napoli, S.162 (Complete)",train,2014,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--8.midi,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--8.wav,1033.23481078,Martin Leung,USA,115,846
63,Frédéric Chopin,"Andante spianato et grande polonaise brillante, Op. 22",train,2014,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--7.midi,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--7.wav,780.15947625,Martin Leung,USA,115,28
64,Frédéric Chopin,"Berceuse in D-Flat Major, Op. 57",validation,2014,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--4.midi,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--4.wav,256.01470125,Martin Leung,USA,115,53
65,Frédéric Chopin,"Mazurka in F Minor, Op. 7, No. 3",validation,2014,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--5.midi,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--5.wav,121.51964343700001,Martin Leung,USA,115,280
66,Frédéric Chopin,"Nocturne in C-Sharp Minor, Op. Posth.",train,2014,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--6.midi,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--6.wav,230.862482812,Martin Leung,USA,115,314
67,Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903",train,2018,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--1.midi,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--1.wav,636.4563614059999,Martin Leung,USA,115,65
68,Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903",train,2014,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--1.midi,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--1.wav,738.034785469,Martin Leung,USA,115,65
69,Johann Sebastian Bach / Myra Hess,"Jesu, Joy of Man’s Desiring, BWV 147",train,2014,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--2.midi,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--2.wav,204.798139219,Martin Leung,USA,115,258
70,Felix Mendelssohn,"Variations Serieuses, Op. 54",train,2011,2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_04_Track04_wav.midi,2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_04_Track04_wav.wav,654.413074219,Misora Ozaki,Japan,124,833
71,Felix Mendelssohn / Sergei Rachmaninoff,Scherzo from A Midsummer Night's Dream,train,2011,2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_05_Track05_wav.midi,2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_05_Track05_wav.wav,253.743068906,Misora Ozaki,Japan,124,486
72,Franz Liszt,"Concert Etude No. 2, ""La Leggierezza"", S. 144/2",train,2011,2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_18_Track18_wav.midi,2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_18_Track18_wav.wav,272.248659375,Misora Ozaki,Japan,124,74
73,Franz Liszt,"Hungarian Rhapsody No. 12, S. 244/12",validation,2011,2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_19_Track19_wav.midi,2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_19_Track19_wav.wav,566.314871719,Misora Ozaki,Japan,124,191
74,Franz Liszt / Camille Saint-Saëns,Danse Macabre S555/R240,train,2011,2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_07_Track07_wav.midi,2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_07_Track07_wav.wav,604.709598281,Misora Ozaki,Japan,124,80
75,Franz Schubert,"Impromptu Op. 142 No. 1, in F Minor, D935",train,2011,2011/MIDI-Unprocessed_03_R2_2011_MID--AUDIO_R2-D1_07_Track07_wav.midi,2011/MIDI-Unprocessed_03_R2_2011_MID--AUDIO_R2-D1_07_Track07_wav.wav,537.582261562,Misora Ozaki,Japan,124,215
76,Franz Schubert / Franz Liszt,Die Forelle,train,2011,2011/MIDI-Unprocessed_03_R2_2011_MID--AUDIO_R2-D1_08_Track08_wav.midi,2011/MIDI-Unprocessed_03_R2_2011_MID--AUDIO_R2-D1_08_Track08_wav.wav,207.15657703099998,Misora Ozaki,Japan,124,84
77,Johann Sebastian Bach,"Prelude and Fugue in E Major, WTC I, BWV 854",train,2011,2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_15_Track15_wav.midi,2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_15_Track15_wav.wav,144.941094375,Misora Ozaki,Japan,124,406
78,Joseph Haydn,"Sonata in B-flat Major, Hob.XVI:41",train,2011,2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_02_Track02_wav.midi,2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_02_Track02_wav.wav,240.84377625,Misora Ozaki,Japan,124,658
79,Joseph Haydn,"Sonata in B-flat Major, Hob.XVI:41",validation,2011,2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_03_Track03_wav.midi,2011/MIDI-Unprocessed_03_R3_2011_MID--AUDIO_R3-D1_03_Track03_wav.wav,128.60029875,Misora Ozaki,Japan,124,658
80,Alexander Scriabin,Etudes from Op.8,train,2006,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.wav,550.997045156,Rui Shi,Chinese,142,151
